case,seed,state,step,Delta,variant,init_strategy,cut_x,integrated_cut_traction_proxy,cut_band_element_count,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,baseline_integrated_cut_traction_proxy,traction_removed_fraction_vs_baseline,traction_removed_percent_vs_baseline
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,1.7472330249290735e-09,16,0.011087382212281227,0.038689661771059036,0.002055531367659569,0.010583221912384033,5.814131327497307e-06,0.9996994851119606,99.96994851119607
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,1.7797788798290526e-09,17,0.009351239539682865,0.03971663489937782,0.001356434659101069,0.008723657578229904,5.888798114028759e-06,0.9996977687389912,99.96977687389912
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,1.851605202496387e-09,16,0.011881841346621513,0.06381995975971222,0.0010654880898073316,0.004261832218617201,4.9387836043024436e-06,0.9996250888172377,99.96250888172376
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,1.3729097858572459e-09,15,0.010577171109616756,0.035121578723192215,0.001877526636235416,0.0061553847044706345,4.482580607145792e-06,0.9996937233468443,99.96937233468442
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,9.440401527172071e-07,15,7.304444789886475,15.1773681640625,0.11201389878988266,0.7832528352737427,9.440401527172071e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,7.372935328930907e-07,14,5.64024019241333,12.188010215759277,0.1310614049434662,0.621411919593811,7.372935328930907e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,4.667102757593966e-07,11,4.746232509613037,6.559972763061523,0.018679074943065643,0.07936510443687439,4.667102757593966e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,2.9524952083193057e-07,13,2.758758068084717,4.623500347137451,0.018609900027513504,0.053956709802150726,2.9524952083193057e-07,0.0,0.0
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,1.8741477258998884e-09,15,0.012734371237456799,0.04564438387751579,0.0014051190810278058,0.009007742628455162,9.440401527172071e-07,0.9980147584607438,99.80147584607438
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.3478126109921504e-09,14,0.01548475306481123,0.04122592508792877,0.002029794966802001,0.007037527393549681,7.372935328930907e-07,0.9968156337927182,99.68156337927182
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,1.6612428099804788e-09,11,0.016165975481271744,0.030181333422660828,0.001197445672005415,0.004540750291198492,4.667102757593966e-07,0.9964405266044819,99.6440526604482
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.009,3.105639745371036e-09,13,0.028971193358302116,0.059778086841106415,0.0021622730419039726,0.008026756346225739,2.9524952083193057e-07,0.989481304705863,98.9481304705863
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.006,3.184584151938452e-09,15,0.021861307322978973,0.07498248666524887,0.0012122472980991006,0.0076624806970357895,9.440401527172071e-07,0.9966266433236209,99.6626643323621
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.007,3.9377172633692226e-09,14,0.026193303987383842,0.06890909373760223,0.001810495974496007,0.0061295838095247746,7.372935328930907e-07,0.9946592271765657,99.46592271765657
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.008,2.723777203783584e-09,11,0.026510566473007202,0.05065087601542473,0.0011287612142041326,0.004252762999385595,4.667102757593966e-07,0.9941638799373944,99.41638799373945
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.009,5.162812399817085e-09,13,0.04827280715107918,0.10244589298963547,0.0019618950318545103,0.007008932530879974,2.9524952083193057e-07,0.9825137314862706,98.25137314862707
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.006,1.8867316597948047e-09,15,0.012799558229744434,0.04591988027095795,0.0014603070449084044,0.009100140072405338,9.440401527172071e-07,0.9980014285892774,99.80014285892774
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.007,2.339573645926407e-09,14,0.015437782742083073,0.040916264057159424,0.0019406998762860894,0.007043760269880295,7.372935328930907e-07,0.9968268083991649,99.68268083991649
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.008,1.655358738972268e-09,11,0.0161166712641716,0.02986428141593933,0.0011980145936831832,0.0045334878377616405,4.667102757593966e-07,0.9964531341499203,99.64531341499203
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.009,3.1063454031254878e-09,13,0.028957707807421684,0.06038319692015648,0.0022073877044022083,0.007827389985322952,2.9524952083193057e-07,0.9894789146672527,98.94789146672527
