case,seed,state,step,Delta,variant,init_strategy,cut_x,v_jump_proxy,u_jump_proxy,above_node_count,below_node_count
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,minus_removed_in_crack_band,saved_uv_prefit,0.009,0.00017172834486700594,3.1795768791198498e-06,28,25
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.006,0.00018680506036616862,2.407557531114435e-06,26,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.007,0.00018098155851475894,1.788666850188747e-06,27,28
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.008,0.00017625480541028082,2.734800091275247e-06,27,31
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,full_degradation_all_energy,saved_uv_prefit,0.009,0.0001717354462016374,3.434962536630337e-06,28,25
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.006,3.5221972211729735e-05,2.0793088424397865e-06,26,29
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.007,2.8336029572528787e-05,8.049523785302881e-07,27,28
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.008,2.3113892893888988e-05,-5.126580617798027e-07,27,31
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,baseline_current_split,saved_uv_prefit,0.009,1.8819086108123884e-05,-1.4404745343199465e-06,28,26
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.006,3.5221972211729735e-05,2.0793088424397865e-06,26,29
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.007,2.8336029572528787e-05,8.049523785302881e-07,27,28
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.008,2.3113892893888988e-05,-5.126580617798027e-07,27,31
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_degraded_in_crack_band,saved_uv_prefit,0.009,1.8819086108123884e-05,-1.4404745343199465e-06,28,26
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.006,3.5221972211729735e-05,2.0793088424397865e-06,26,29
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.007,2.8336029572528787e-05,8.049523785302881e-07,27,28
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.008,2.3113892893888988e-05,-5.126580617798027e-07,27,31
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,minus_removed_in_crack_band,saved_uv_prefit,0.009,1.8819086108123884e-05,-1.4404745343199465e-06,28,26
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.006,3.5229200875619426e-05,2.141337290595402e-06,26,29
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.007,2.834265978890471e-05,9.04761236597551e-07,27,28
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.008,2.3114604118745774e-05,-5.260153557173908e-07,27,31
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,14,5.5e-05,full_degradation_all_energy,saved_uv_prefit,0.009,1.881053867691662e-05,-1.5551804608548991e-06,28,26
