case,seed,variant,cut_type,cut_location,effective_normal_force_N,effective_shear_force_N,undegraded_normal_force_N,undegraded_shear_force_N,top_boundary_reaction_N,cut_force_explains_top_reaction_ratio,cut_length_mm,element_count
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,vertical,0.009,-0.7699429988508734,0.05710240527545112,6.545165672617316,-2.224715180296999,0.8850918238455893,0.06451579795116609,0.009999999776482582,97
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,horizontal_below,0.0039086821058558095,0.547143854302659,0.09980831642720901,1.022880843439727,0.118718788466046,0.8850918238455893,0.6181775038045231,0.009999999776482579,148
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,horizontal_above,0.0059086821058558095,0.516444024110218,0.0038323871200705577,1.1141721359974939,0.023295776890330272,0.8850918238455893,0.5834920289584726,0.009999999776482579,146
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,crack_band_interface,,-7.9371697606024,-0.007277327729076526,,,0.8850918238455893,-8.967622959295461,0.016232117712206673,111
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,vertical,0.006,8.17542338609367e-05,-0.037560307751001776,7.076816859054005,0.43306272848713906,0.7423446550484991,-0.050596858878909655,0.009999999776482582,100
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,vertical,0.007,0.09663051079860212,0.08514970651523829,6.809172954687041,1.022527539973699,0.7423446550484991,0.1147037375916383,0.009999999776482584,99
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,vertical,0.008,-0.22711534562273444,0.14353538216078376,6.636597750251922,1.4964365584318537,0.7423446550484991,0.19335409931847122,0.009999999776482586,100
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,vertical,0.009,-0.49106440280027125,0.1432662726323643,7.01373230742141,-2.3079322407724314,0.7423446550484991,0.19299158639864442,0.009999999776482582,97
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,horizontal_below,0.0039086821058558095,0.4207531432999924,0.10498021647227462,0.8090522991147147,0.12436668167201752,0.7423446550484991,0.5667894830771074,0.009999999776482579,148
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,horizontal_above,0.0059086821058558095,0.3381879446138243,0.06389781825682246,0.8049315484702206,0.09210768906303603,0.7423446550484991,0.455567292515536,0.009999999776482579,146
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,crack_band_interface,,-5.8253710110437344,0.1216227679441117,,,0.7423446550484991,-7.847259317389642,0.016232117712206673,111
D0040_seed42_default_unitbox,42,continuous_baseline,vertical,0.006,-13.019626160861673,0.11932077353723472,6.609995592229932,2.8849307302320684,0.7977702892232456,0.1495678331834245,0.009999999776482582,100
D0040_seed42_default_unitbox,42,continuous_baseline,vertical,0.007,-13.705217417447773,0.3875925725478548,6.928438448491061,3.7914105586127986,0.7977702892232456,0.48584483250841154,0.009999999776482584,99
D0040_seed42_default_unitbox,42,continuous_baseline,vertical,0.008,-11.320793443760094,-0.017432023566294676,6.245668454034657,0.9487029989663739,0.7977702892232456,-0.02185093102836342,0.009999999776482586,100
D0040_seed42_default_unitbox,42,continuous_baseline,vertical,0.009,-11.648526438384893,-0.15888364731269228,5.941243550565476,-1.9820319741466852,0.7977702892232456,-0.19915964464832403,0.009999999776482582,97
