case,seed,variant,stress_version,boundary,subdomain,integrated_sigma_xx_nx_plus_sigma_xy_ny_N,integrated_sigma_xy_nx_plus_sigma_yy_ny_N,normal_force_N,tangential_force_N,boundary_length_mm,edge_count
D0040_seed13_default_unitbox,13,continuous_baseline,variant,right,lower,-14.271303646622199,0.839700263189341,-14.271303646622199,0.839700263189341,0.004800000227987766,16
D0040_seed13_default_unitbox,13,continuous_baseline,variant,bottom,lower,0.04669027259420066,-0.977033505560034,0.977033505560034,0.04669027259420066,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,variant,left,lower,-0.015710300921337052,0.0029637840865072472,0.015710300921337052,0.0029637840865072472,0.00494999997317791,17
D0040_seed13_default_unitbox,13,continuous_baseline,variant,physical_boundary_sum,lower,-14.240323674949334,-0.13436945828418576,,,,52
D0040_seed13_default_unitbox,13,continuous_baseline,total,right,whole,5.516349708946631,4.571458653565406,5.516349708946631,4.571458653565406,0.009999999776482582,34
D0040_seed13_default_unitbox,13,continuous_baseline,total,bottom,whole,0.059818517806221744,-1.359736122836976,1.359736122836976,0.059818517806221744,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,total,left,whole,-0.05844919743499923,-0.0019445903432908935,0.05844919743499923,-0.0019445903432908935,0.00989999994635582,34
D0040_seed13_default_unitbox,13,continuous_baseline,total,top,whole,0.037269861054652145,1.160010837735892,1.160010837735892,0.037269861054652145,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,total,physical_boundary_sum,whole,5.554988890372505,4.3697887781210305,,,,106
D0040_seed13_default_unitbox,13,continuous_baseline,total,left,upper,-0.04278072171401331,-0.004908354522955149,0.04278072171401331,-0.004908354522955149,0.00494999997317791,17
D0040_seed13_default_unitbox,13,continuous_baseline,total,right,upper,0.04782953904708745,-0.022003233750080092,0.04782953904708745,-0.022003233750080092,0.005199999548494816,18
D0040_seed13_default_unitbox,13,continuous_baseline,total,top,upper,0.037269861054652145,1.160010837735892,1.160010837735892,0.037269861054652145,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,total,physical_boundary_sum,upper,0.04231867838772629,1.1330992494628567,,,,54
D0040_seed13_default_unitbox,13,continuous_baseline,total,right,lower,5.468520169899544,4.593461887315486,5.468520169899544,4.593461887315486,0.004800000227987766,16
D0040_seed13_default_unitbox,13,continuous_baseline,total,bottom,lower,0.059818517806221744,-1.359736122836976,1.359736122836976,0.059818517806221744,0.009999999776482582,19
D0040_seed13_default_unitbox,13,continuous_baseline,total,left,lower,-0.015668475720985918,0.0029637641796642555,0.015668475720985918,0.0029637641796642555,0.00494999997317791,17
D0040_seed13_default_unitbox,13,continuous_baseline,total,physical_boundary_sum,lower,5.51267021198478,3.2366895286581747,,,,52
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,right,whole,-15.272859731511511,0.8799446624429753,-15.272859731511511,0.8799446624429753,0.009999999776482582,34
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,bottom,whole,0.024321497434063102,-1.0102289723126066,1.0102289723126066,0.024321497434063102,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,left,whole,-0.07451161033757515,0.00342448659069379,0.07451161033757515,0.00342448659069379,0.00989999994635582,34
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,top,whole,0.0008653225079164424,0.8053867024099587,0.8053867024099587,0.0008653225079164424,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,physical_boundary_sum,whole,-15.322184521907108,0.6785268791310213,,,,106
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,left,upper,-0.04822742933451024,0.0011657079890079686,0.04822742933451024,0.0011657079890079686,0.00494999997317791,17
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,right,upper,-0.9058410362342891,0.022810313657721598,-0.9058410362342891,0.022810313657721598,0.005199999548494816,18
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,top,upper,0.0008653225079164424,0.8053867024099587,0.8053867024099587,0.0008653225079164424,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,physical_boundary_sum,upper,-0.9532031430608829,0.8293627240566882,,,,54
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,right,lower,-14.367018695277222,0.8571343487852536,-14.367018695277222,0.8571343487852536,0.004800000227987766,16
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,bottom,lower,0.024321497434063102,-1.0102289723126066,1.0102289723126066,0.024321497434063102,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,left,lower,-0.02628418100306491,0.0022587786016858217,0.02628418100306491,0.0022587786016858217,0.00494999997317791,17
D0040_seed13_default_unitbox,13,split_domain_current_split,variant,physical_boundary_sum,lower,-14.368981378846225,-0.1508358449256671,,,,52
D0040_seed13_default_unitbox,13,split_domain_current_split,total,right,whole,5.360513756793085,4.630728815685465,5.360513756793085,4.630728815685465,0.009999999776482582,34
D0040_seed13_default_unitbox,13,split_domain_current_split,total,bottom,whole,0.029707593534058864,-1.3908300694683668,1.3908300694683668,0.029707593534058864,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,total,left,whole,-0.07443187806799473,0.0034235481956334905,0.07443187806799473,0.0034235481956334905,0.00989999994635582,34
D0040_seed13_default_unitbox,13,split_domain_current_split,total,top,whole,0.001343279391813969,1.248185542547116,1.248185542547116,0.001343279391813969,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,total,physical_boundary_sum,whole,5.317132751650963,4.491507836959848,,,,106
D0040_seed13_default_unitbox,13,split_domain_current_split,total,left,upper,-0.048190182595953424,0.0011655748866454493,0.048190182595953424,0.0011655748866454493,0.00494999997317791,17
D0040_seed13_default_unitbox,13,split_domain_current_split,total,right,upper,-0.04511912836699904,0.008165725409146896,-0.04511912836699904,0.008165725409146896,0.005199999548494816,18
D0040_seed13_default_unitbox,13,split_domain_current_split,total,top,upper,0.001343279391813969,1.248185542547116,1.248185542547116,0.001343279391813969,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,total,physical_boundary_sum,upper,-0.09196603157113849,1.2575168428429084,,,,54
D0040_seed13_default_unitbox,13,split_domain_current_split,total,right,lower,5.405632885160084,4.62256309027632,5.405632885160084,4.62256309027632,0.004800000227987766,16
D0040_seed13_default_unitbox,13,split_domain_current_split,total,bottom,lower,0.029707593534058864,-1.3908300694683668,1.3908300694683668,0.029707593534058864,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_current_split,total,left,lower,-0.026241695472041297,0.0022579733089880412,0.026241695472041297,0.0022579733089880412,0.00494999997317791,17
D0040_seed13_default_unitbox,13,split_domain_current_split,total,physical_boundary_sum,lower,5.409098783222101,3.2339909941169416,,,,52
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,right,whole,-1.2428962849615561,0.08937047813684501,-1.2428962849615561,0.08937047813684501,0.009999999776482582,34
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,bottom,whole,0.014508574208802914,-0.9806448213568038,0.9806448213568038,0.014508574208802914,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,left,whole,-0.06831988076815235,0.009032466580422116,0.06831988076815235,0.009032466580422116,0.00989999994635582,34
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,top,whole,-0.022772764134125933,0.8850918238455893,0.8850918238455893,-0.022772764134125933,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,physical_boundary_sum,whole,-1.3194803556550316,0.0028499472060525832,,,,106
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,left,upper,-0.040103986252432576,0.003956956409034164,0.040103986252432576,0.003956956409034164,0.00494999997317791,17
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,right,upper,-0.8621445552410602,0.04443979845681342,-0.8621445552410602,0.04443979845681342,0.005199999548494816,18
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,top,upper,-0.022772764134125933,0.8850918238455893,0.8850918238455893,-0.022772764134125933,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,physical_boundary_sum,upper,-0.9250213056276186,0.9334885787114369,,,,54
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,right,lower,-0.380751729720496,0.04493067968003159,-0.380751729720496,0.04493067968003159,0.004800000227987766,16
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,bottom,lower,0.014508574208802914,-0.9806448213568038,0.9806448213568038,0.014508574208802914,0.009999999776482582,19
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,variant,left,lower,-0.028215894515719767,0.0050755101713879525,0.028215894515719767,0.0050755101713879525,0.00494999997317791,17
