run_group,comparison,step,Delta,loss_total_diff,elastic_energy_diff,fracture_energy_diff,alpha_max_diff,alpha_mean_diff,alpha_step_change_max_diff,HI_max_diff,HII_max_diff,He_max_diff,He_mean_diff,mechanics_drive_max_diff,mechanics_drive_mean_diff,notch_tip_delta_T_mean_diff,notch_tip_delta_T_max_diff,notch_tip_He_current_max_diff,notch_tip_mechanics_drive_max_diff,bottom_right_delta_T_mean_diff,bottom_right_delta_T_max_diff,bottom_right_He_current_max_diff,bottom_right_mechanics_drive_max_diff
8step,solved_minus_no_thermal,3,1.5625e-05,-1.0105520864556183e-09,-1.0105094538914727e-09,-4.263256414560601e-14,0.0,-5.960464477539063e-08,0.0,-9.117648005485535e-07,-5.215188139118254e-07,-1.3506505638360977e-06,-4.2375148041173816e-05,-1.3506505638360977e-06,-4.2375148041173816e-05,9.999632835388184,10.5921630859375,-4.869211988989264e-05,-4.869211988989264e-05,0.4020843505859375,0.5771484375,-1.236854586750269e-06,-1.236854586750269e-06
8step,solved_minus_no_thermal,4,2.05e-05,-1.3689889222234797e-09,-1.3688610245310429e-09,-1.2789769243681803e-13,0.0,-1.7881393432617188e-07,0.0,-1.0964577086269855e-06,-6.924965418875217e-07,-1.7933780327439308e-06,-5.6921038776636124e-05,-1.7933780327439308e-06,-5.6921038776636124e-05,9.999632835388184,10.5921630859375,-6.485273479484022e-05,-6.485273479484022e-05,0.4020843505859375,0.5771484375,-1.65554229170084e-06,-1.65554229170084e-06
8step,solved_minus_no_thermal,5,2.5375e-05,-1.7306227562130516e-09,-1.7300685328791587e-09,-5.542233338928781e-13,-4.172325134277344e-07,-6.556510925292969e-07,5.364418029785156e-07,-1.3727694749832153e-06,-8.67003109306097e-07,-2.2453023120760918e-06,-7.15329369995743e-05,-2.2453023120760918e-06,-7.15329369995743e-05,9.999632835388184,10.5921630859375,-8.115969831123948e-05,-8.115969831123948e-05,0.4020843505859375,0.5771484375,-2.085929736495018e-06,-2.085929736495018e-06
8step,solved_minus_no_thermal,6,3.025e-05,-2.095045914529692e-09,-2.0940511546996277e-09,-9.947598300641403e-13,-9.5367431640625e-07,-1.1324882507324219e-06,5.364418029785156e-07,-1.6557169146835804e-06,-1.0457297321408987e-06,-2.7080532163381577e-06,-8.620979497209191e-05,-2.7080532163381577e-06,-8.620979497209191e-05,9.999632835388184,10.5921630859375,-9.744882117956877e-05,-9.744882117956877e-05,0.4020843505859375,0.5771484375,-2.552580554038286e-06,-2.552580554038286e-06
8step,solved_minus_no_thermal,7,3.5125e-05,-2.460588177655154e-09,-2.459024983636482e-09,-1.5631940186722204e-12,-1.3709068298339844e-06,-1.7285346984863281e-06,6.854534149169922e-07,-1.946929842233658e-06,-1.229753252118826e-06,-3.1846575438976288e-06,-0.00010085105895996094,-3.1846575438976288e-06,-0.00010085105895996094,9.999632835388184,10.5921630859375,-0.00011371658183634281,-0.00011371658183634281,0.4020843505859375,0.5771484375,-3.0195806175470352e-06,-3.0195806175470352e-06
8step,prescribed_linear_y_minus_no_thermal,0,1e-06,1.5329290788124172e-10,1.5329290788124172e-10,0.0,0.0,0.0,0.0,8.227266960147972e-06,5.259202623619785e-06,1.3522868698601087e-05,2.4797877244964184e-06,1.3522868698601087e-05,2.4797877244964184e-06,9.999629974365234,10.592140197753906,2.0899742594338022e-06,2.0899742594338022e-06,0.4020676910877228,0.5771484375,-1.1693771284626564e-07,-1.1693771284626564e-07
8step,prescribed_linear_y_minus_no_thermal,1,5.875e-06,-2.525128717234537e-10,-2.525128717234537e-10,0.0,0.0,0.0,0.0,-7.25191057426855e-07,-1.9247727323090658e-07,-8.119168342091143e-07,-1.3105306607030798e-05,-8.119168342091143e-07,-1.3105306607030798e-05,9.999629974365234,10.592140197753906,-1.6393727491958998e-05,-1.6393727491958998e-05,0.4020676910877228,0.5771484375,-4.788817022927105e-07,-4.788817022927105e-07
8step,prescribed_linear_y_minus_no_thermal,2,1.075e-05,-6.547001829559917e-10,-6.547001829559917e-10,0.0,0.0,0.0,0.0,-9.996292646974325e-07,-3.565510269254446e-07,-9.782088454812765e-07,-2.791340375551954e-05,-9.782088454812765e-07,-2.791340375551954e-05,9.999629974365234,10.592140197753906,-3.2550262403674424e-05,-3.2550262403674424e-05,0.4020676910877228,0.5771484375,-8.481292752549052e-07,-8.481292752549052e-07
8step,prescribed_linear_y_minus_no_thermal,3,1.5625e-05,-1.0105363212886687e-09,-1.010493688724523e-09,-4.263256414560601e-14,0.0,-5.960464477539063e-08,0.0,-9.172363206744194e-07,-5.249676178209484e-07,-1.3596145436167717e-06,-4.237312532495707e-05,-1.3596145436167717e-06,-4.237312532495707e-05,9.999629974365234,10.592140197753906,-4.8690271796658635e-05,-4.8690271796658635e-05,0.4020676910877228,0.5771484375,-1.2656382750719786e-06,-1.2656382750719786e-06
8step,prescribed_linear_y_minus_no_thermal,4,2.05e-05,-1.368943625124075e-09,-1.3688157274316382e-09,-1.2789769243681803e-13,0.0,-1.7881393432617188e-07,0.0,-1.1059455573558807e-06,-6.984919309616089e-07,-1.8089194782078266e-06,-5.691722617484629e-05,-1.8089194782078266e-06,-5.691722617484629e-05,9.999629974365234,10.592140197753906,-6.48403656668961e-05,-6.48403656668961e-05,0.4020676910877228,0.5771484375,-1.7052225302904844e-06,-1.7052225302904844e-06
8step,prescribed_linear_y_minus_no_thermal,5,2.5375e-05,-1.730535714727921e-09,-1.7299814913940281e-09,-5.542233338928781e-13,-4.172325134277344e-07,-6.556510925292969e-07,5.364418029785156e-07,-1.3873795978724957e-06,-8.762581273913383e-07,-2.2692838683724403e-06,-7.15266796760261e-05,-2.2692838683724403e-06,-7.15266796760261e-05,9.999629974365234,10.592140197753906,-8.113752119243145e-05,-8.113752119243145e-05,0.4020676910877228,0.5771484375,-2.1622981876134872e-06,-2.1622981876134872e-06
8step,prescribed_linear_y_minus_no_thermal,6,3.025e-05,-2.0949197931940944e-09,-2.0939250333640302e-09,-9.947598300641403e-13,-9.5367431640625e-07,-1.1324882507324219e-06,5.364418029785156e-07,-1.6763806343078613e-06,-1.0588264558464289e-06,-2.7419300749897957e-06,-8.619873551651835e-05,-2.7419300749897957e-06,-8.619873551651835e-05,9.999629974365234,10.592140197753906,-9.740958921611309e-05,-9.740958921611309e-05,0.4020676910877228,0.5771484375,-2.661137841641903e-06,-2.661137841641903e-06
8step,prescribed_linear_y_minus_no_thermal,7,3.5125e-05,-2.4603465931249957e-09,-2.4587976099610387e-09,-1.5489831639570184e-12,-1.3709068298339844e-06,-1.7285346984863281e-06,6.854534149169922e-07,-1.9749277271330357e-06,-1.247331965714693e-06,-3.2302923500537872e-06,-0.00010083394590765238,-3.2302923500537872e-06,-0.00010083394590765238,9.999629974365234,10.592140197753906,-0.00011366489343345165,-0.00011366489343345165,0.4020676910877228,0.5771484375,-3.1660310924053192e-06,-3.1660310924053192e-06
