case_id,method,top_u_mode,loss_form,epochs,hidden_layers,neurons,seed,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.00440147565677762,1388,1841,9.999983012676239e-05,1.8314771921268402e-10,1.00951069725852e-08,1.2754852285468132e-08,1.2571704566255448e-08,4.96997301979718e-07,4.869021950071328e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.0045905509032309055,1436,1789,9.999983012676239e-05,1.3563550282924552e-10,1.0095050129166339e-08,9.16980180676319e-09,9.034166303933944e-09,4.967296831637213e-07,4.86634633034555e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.004754123743623495,1487,1736,9.999983012676239e-05,9.458789307359439e-11,1.009516381600406e-08,6.068400892900172e-09,5.973812999826578e-09,4.964982167621201e-07,4.864030529461161e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.004889295436441898,1537,1684,9.999983012676239e-05,5.8112181733349644e-11,1.010073447105242e-08,3.4819886973735947e-09,3.423876515640245e-09,4.963667379342951e-07,4.862660034632427e-07
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,8,400,2,0.004999999888241291,1585,1636,9.999983012676239e-05,2.9956481739645824e-11,1.010073447105242e-08,1.3562836409519718e-09,1.326327159212326e-09,4.962780053574534e-07,4.86177270886401e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0,158,2697,9.999983012676239e-05,2.357907646910462e-09,9.949815193976974e-09,1.7357547221763525e-07,1.712175645707248e-07,5.260822604213899e-07,5.16132445227413e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.00020006729755550623,190,2670,9.999983012676239e-05,2.163034196200897e-09,9.994039373850683e-09,1.580043402782394e-07,1.558413060820385e-07,5.209443543208181e-07,5.109503149469674e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.00040013459511101246,221,2641,9.999983012676239e-05,2.044984626081714e-09,1.0069868494611e-08,1.4263871150888008e-07,1.4059372688279836e-07,5.170396093490126e-07,5.069697408544016e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0006002018926665187,257,2613,9.999983012676239e-05,1.8338255358685274e-09,1.0082203516503796e-08,1.2690432527051598e-07,1.2507049973464746e-07,5.133455829309241e-07,5.032633794144203e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0008002691902220249,303,2611,9.999983012676239e-05,1.6121148860293033e-09,1.0099938663188368e-08,1.1148598844101798e-07,1.0987387355498868e-07,5.102393174638564e-07,5.001393788006681e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0010003364877775311,350,2581,9.999983012676239e-05,1.19118936936502e-09,1.0154792562389048e-08,9.756038110708687e-08,9.636919173772185e-08,5.081416816210549e-07,4.979868890586658e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0012004037853330374,404,2552,9.999983012676239e-05,8.046683319662407e-10,1.0198732525168452e-08,8.70989964596447e-08,8.629432812767845e-08,5.058392389400979e-07,4.956405064149294e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0014004710828885436,462,2522,9.999983012676239e-05,6.400284746632678e-10,1.0283258689014474e-08,8.005837770497237e-08,7.94183492303091e-08,5.040307087256224e-07,4.937474500366079e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.0016005383804440498,523,2492,9.999983012676239e-05,5.198756980462349e-10,1.0206804290646687e-08,7.296058868178079e-08,7.244071298373456e-08,5.030524903304467e-07,4.928456860398001e-07
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,8,400,2,0.001800605677999556,587,2461,9.999983012676239e-05,4.462847869035613e-10,1.0202427347394405e-08,6.612091141278142e-08,6.567462662587786e-08,5.025627842769609e-07,4.923603569295665e-07
