case,seed,state,step,Delta,variant,cut_x,band_element_count,alpha_mean_in_band,g_alpha_mean_in_band,mean_abs_sigma_yy_eff,max_abs_sigma_yy_eff,mean_abs_sigma_xy_eff,max_abs_sigma_xy_eff,integrated_cut_traction_proxy,traction_removed_fraction_vs_current_split,traction_removed_percent_vs_current_split
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,current_split,0.006,14,0.925148606300354,0.011872830800712109,36.44623351960734,79.70543920341008,0.07467372482335709,0.5595663182996947,5.463519151955052e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,current_split,0.007,17,0.928919792175293,0.01017459761351347,36.21360589350389,85.37175573892685,0.28247204257456776,2.861333878010509,5.807413945697182e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,current_split,0.008,14,0.9429410099983215,0.008099581114947796,40.93564310393368,100.48110544899711,0.3468183671391119,1.9147166741667663,4.832178430782451e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,current_split,0.009,15,0.9315098524093628,0.009348220191895962,34.32407992459319,91.95950141970614,0.2248000262331061,1.9883355498835966,5.002124931914862e-06,0.0,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_everywhere,0.006,14,0.925148606300354,0.011872830800712109,0.008485565562757667,0.026969562540269054,0.0018740206487510068,0.007339917952055908,1.1690069299905921e-09,0.9997860340748377,99.97860340748377
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_everywhere,0.007,17,0.928919792175293,0.01017459761351347,0.014921258489688834,0.10566783099683619,0.001727462110037431,0.007742327754873823,2.3852756642883363e-09,0.9995892705967592,99.95892705967591
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_everywhere,0.008,14,0.9429410099983215,0.008099581114947796,0.008072594677000874,0.022587214407045808,0.0008712760436038764,0.00299393855709032,1.0754119291763132e-09,0.9997774478023564,99.97774478023564
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,full_degradation_everywhere,0.009,15,0.9315098524093628,0.009348220191895962,0.010998344868975307,0.026784932993003663,0.0015476543400677208,0.005439982477188243,1.6498622578349768e-09,0.9996701677226595,99.96701677226595
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.006,14,0.925148606300354,0.011872830800712109,0.008485565562757667,0.026969562540269054,0.0018740206487510068,0.007339917952055908,1.1690069299905921e-09,0.9997860340748377,99.97860340748377
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.007,17,0.928919792175293,0.01017459761351347,0.014921258489688834,0.10566783099683619,0.001727462110037431,0.007742327754873823,2.3852756642883363e-09,0.9995892705967592,99.95892705967591
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.008,14,0.9429410099983215,0.008099581114947796,0.008072594677000874,0.022587214407045808,0.0008712760436038764,0.00299393855709032,1.0754119291763132e-09,0.9997774478023564,99.97774478023564
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_degraded_in_crack_band,0.009,15,0.9315098524093628,0.009348220191895962,0.010998344868975307,0.026784932993003663,0.0015476543400677208,0.005439982477188243,1.6498622578349768e-09,0.9996701677226595,99.96701677226595
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,minus_removed_in_crack_band,0.006,14,0.925148606300354,0.011872830800712109,0.0158873071479124,0.04762122865422391,0.0014852687818847933,0.005942645467144847,2.1032072844754736e-09,0.9996150453167675,99.96150453167675
