seed,step,load_case,Delta_s,engineering_shear_strain,reference_length_mm,reference_area_mm2,stress_strain_primary_metric,reaction_metric_status,is_energy_conjugate,nominal_shear_stress_energy_MPa,nominal_shear_stress_virtual_work_MPa,reaction_N_energy,reaction_N_virtual_work,alpha0p8_through_crack,Delta,strain,checkpoint,history_source,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span
23,32,shear,8e-05,0.008,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,28.4379260847345,,0.284379260847345,,False,8e-05,0.008,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0032.pt,checkpoint_step_0031_post_history,1.591619813723355e-08,1.3066673076878033e-08,2.8495255044447276e-09,20,0.0050210845656692,0.0054052211344242,0.0049097448820248,0.0003841365687549
23,33,shear,8.2e-05,0.0082,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,27.759248041547835,,0.2775924804154783,,False,8.2e-05,0.0082,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0033.pt,checkpoint_step_0032_post_history,1.6505165234548258e-08,1.3439084511901456e-08,3.066080278557592e-09,21,0.0050210845656692,0.0054052211344242,0.0049111947772048,0.0003841365687549
23,34,shear,8.4e-05,0.0084,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,27.649712865240872,,0.2764971286524087,,False,8.4e-05,0.0084,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0034.pt,checkpoint_step_0033_post_history,1.706689545244444e-08,1.377873015684372e-08,3.288164629466905e-09,22,0.0050210845656692,0.0054849125444889,0.0049070570914244,0.0004638279788196
23,35,shear,8.6e-05,0.0086,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,26.860972866415977,,0.2686097286641598,,False,8.6e-05,0.0086,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0035.pt,checkpoint_step_0034_post_history,1.7656432760304597e-08,1.4126849912088346e-08,3.52958329230546e-09,24,0.0050210845656692,0.0055110286921262,0.0048900672894281,0.0004899441264569
23,36,shear,8.8e-05,0.0087999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,26.36931894812733,,0.2636931894812733,,False,8.8e-05,0.0087999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0036.pt,checkpoint_step_0035_post_history,1.8216006480997752e-08,1.4455443064775864e-08,3.760562528043465e-09,26,0.0050210845656692,0.0055762617848813,0.0048876045128473,0.000555177219212
23,37,shear,9e-05,0.009,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,25.932412245310843,,0.2593241224531084,,False,9e-05,0.009,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0037.pt,checkpoint_step_0036_post_history,1.8756781017259527e-08,1.4749428345339766e-08,4.0073526719197625e-09,28,0.0050210845656692,0.0056397449225187,0.0048742583021521,0.0006186603568494
23,38,shear,9.2e-05,0.0092,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,25.29610064812005,,0.2529610064812004,,False,9.2e-05,0.0092,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0038.pt,checkpoint_step_0037_post_history,1.9302348164274008e-08,1.5060605207395383e-08,4.241743400967834e-09,29,0.0050210845656692,0.0057006627321243,0.0048673684098597,0.000679578166455
23,39,shear,9.4e-05,0.0093999999999999,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,24.15713533991948,,0.2415713533991947,,False,9.4e-05,0.0093999999999999,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0039.pt,checkpoint_step_0038_post_history,1.985493902623148e-08,1.5328584623830466e-08,4.526353958311802e-09,32,0.0050210845656692,0.0057006627321243,0.0048514276568312,0.000679578166455
23,40,shear,9.6e-05,0.0096,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,24.103005125653,,0.24103005125653,,False,9.6e-05,0.0096,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0040.pt,checkpoint_step_0039_post_history,2.037046620273486e-08,1.563645035673744e-08,4.734015845997419e-09,33,0.0050210845656692,0.0057677295990288,0.0048469320983823,0.0007466450333595
23,41,shear,9.8e-05,0.0098,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,23.78589560976252,,0.2378589560976252,,False,9.8e-05,0.0098,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0041.pt,checkpoint_step_0040_post_history,2.0881344653389533e-08,1.5929712660067707e-08,4.951631993321825e-09,35,0.0050210845656692,0.0058470671065151,0.004834225374673,0.0008259825408458
23,42,shear,0.0001,0.01,0.01,0.01,nominal_shear_stress_energy_MPa,energy_conjugate,True,23.070974566508085,,0.2307097456650808,,False,0.0001,0.01,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\outputs\checkpoints\seed23_S0070_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0042.pt,checkpoint_step_0041_post_history,2.141889332563096e-08,1.6237297728594058e-08,5.181595597036903e-09,36,0.0050210845656692,0.0059169433079659,0.0048274096981104,0.0008958587422966
