case_id,loss_kind,epoch,checkpoint,loss,disp_rel,strain_rel,energy_log10,elastic_energy,energy_mode,lambda_u,lambda_eps,lambda_trust_u,lambda_trust_eps
global_displacement_anchor_lamU_1e-02,continuation,300,continuation,0.009842525236308575,0.969769299030304,0.984492838382721,-7.233762264251709,5.837650007833872e-08,normalized,0.01,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,1,continuation,1.000003695487976,4.539393901824951,579.3912353515625,-0.8484869599342346,0.14174672961235046,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,30,continuation,0.09040826559066772,0.8322269320487976,0.9042849540710449,-5.545565128326416,2.847312316589523e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,60,continuation,0.08888717740774155,0.8032912611961365,0.8687084913253784,-5.46248722076416,3.4475688153179362e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,90,continuation,0.08867857605218887,0.7999196648597717,0.8627541065216064,-5.4564337730407715,3.495957571431063e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,120,continuation,0.08800661563873291,0.7848792672157288,0.8355775475502014,-5.416041374206543,3.836707037407905e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,150,continuation,0.08774788677692413,0.780647337436676,0.8280472755432129,-5.408745765686035,3.90170544051216e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,180,continuation,0.08766558766365051,0.7789621949195862,0.8251463770866394,-5.404616355895996,3.93897926187492e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,210,continuation,0.08763401210308075,0.7787943482398987,0.8247667551040649,-5.4053874015808105,3.931992978323251e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,240,continuation,0.08763043582439423,0.778364360332489,0.823966920375824,-5.403274059295654,3.951175131078344e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,270,continuation,0.08762670308351517,0.7783238291740417,0.823645293712616,-5.403166770935059,3.9521496546512935e-06,normalized,0.1,0.0,0.0,0.0
global_displacement_anchor_lamU_1e-01,continuation,300,continuation,0.08761856704950333,0.7780055403709412,0.8234161138534546,-5.402629375457764,3.957043190894183e-06,normalized,0.1,0.0,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,1,continuation,1.0,4.318140506744385,582.1016235351562,-0.847511887550354,0.14206533133983612,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,30,continuation,9.436159416509327e-06,0.999784529209137,1.000393033027649,-8.618814468383789,2.405395438387359e-09,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,60,continuation,1.675221170671648e-07,0.999332845211029,1.000003695487976,-10.197508811950684,6.345871050861263e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,90,continuation,1.6607752684194566e-07,0.9993184208869934,1.0000008344650269,-10.20127010345459,6.291146770198708e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,120,continuation,1.5535799491317448e-07,0.9993280172348022,1.0000121593475342,-10.235569953918457,5.813405312693476e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,150,continuation,1.2868025578427478e-07,0.99937903881073,1.0000258684158325,-10.327845573425293,4.700611427876922e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,180,continuation,1.2011726369109965e-07,0.9994013905525208,1.0000420808792114,-10.343109130859375,4.538270106935194e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,210,continuation,1.1845568792523409e-07,0.9994028210639954,1.0000314712524414,-10.360819816589355,4.3569332169868247e-11,normalized,0.0,1e-08,0.0,0.0
global_strain_anchor_lamEps_1e-08,continuation,240,continuation,1.1722225679022813e-07,0.9993975758552551,1.0000264644622803,-10.364455223083496,4.320611576846822e-11,normalized,0.0,1e-08,0.0,0.0
