case,x,upper_node,lower_node,gap_y,u_jump_upper_minus_lower,v_jump_upper_minus_lower,upper_u,lower_u,upper_v,lower_v
alpha_intact_history_topufixed_step0,0.004889295436441898,1537,1684,9.999983012676239e-05,-8.403477913532242e-11,1.0088683666253928e-08,2.1149859641411695e-09,2.199020743276492e-09,5.047431841376238e-07,4.946545004713698e-07
alpha_intact_history_topufixed_step0,0.004999999888241291,1585,1636,9.999983012676239e-05,-8.445177890337163e-11,1.0088513135997346e-08,8.158242970068841e-10,9.002760759102557e-10,5.047498916610493e-07,4.94661378525052e-07
alpha_intact_history_topufree_step0,0.0,158,2697,9.999983012676239e-05,1.365833668387495e-09,9.95299842543318e-09,1.298512160019527e-07,1.284853823335652e-07,5.188041996007087e-07,5.088512011752755e-07
alpha_intact_history_topufree_step0,0.00020006729755550623,190,2670,9.999983012676239e-05,1.535724436507735e-09,1.0036217190645402e-08,1.2199978982607718e-07,1.2046406538956944e-07,5.161929266250809e-07,5.061567094344355e-07
alpha_intact_history_topufree_step0,0.00040013459511101246,221,2641,9.999983012676239e-05,1.4330083786262549e-09,1.0036444564320846e-08,1.1418743639524109e-07,1.1275442801661484e-07,5.135896117280936e-07,5.035531671637727e-07
alpha_intact_history_topufree_step0,0.0006002018926665187,257,2613,9.999983012676239e-05,1.3362679851525172e-09,1.0032238151325146e-08,1.0738517630670685e-07,1.0604890832155434e-07,5.117385057928914e-07,5.017062676415662e-07
alpha_intact_history_topufree_step0,0.0008002691902220249,303,2611,9.999983012676239e-05,1.2500720458774595e-09,1.0033147646026919e-08,1.0089939905810752e-07,9.964932701223006e-08,5.101060196466278e-07,5.000728720006009e-07
alpha_intact_history_topufree_step0,0.0010003364877775311,350,2581,9.999983012676239e-05,1.1595702176236955e-09,1.003326133286464e-08,9.443055404290135e-08,9.327098382527765e-08,5.084879148853361e-07,4.984546535524714e-07
alpha_intact_history_topufree_step0,0.0012004037853330374,404,2552,9.999983012676239e-05,1.074063504802325e-09,1.0033033959189197e-08,8.797116635150815e-08,8.689710284670582e-08,5.068764039606322e-07,4.96843370001443e-07
alpha_intact_history_topufree_step0,0.0014004710828885436,462,2522,9.999983012676239e-05,1.0119052262780315e-09,1.004030991680338e-08,8.209843826989527e-08,8.108653304361724e-08,5.055156293565233e-07,4.954753194397199e-07
alpha_intact_history_topufree_step0,0.0016005383804440498,523,2492,9.999983012676239e-05,9.45398426210886e-10,1.0041844689112622e-08,7.664229428883118e-08,7.56968958626203e-08,5.043337409915694e-07,4.942918963024567e-07
alpha_intact_history_topufree_step0,0.001800605677999556,587,2461,9.999983012676239e-05,8.749481139602722e-10,1.0045710041595157e-08,7.125633061377812e-08,7.038138249981785e-08,5.032702006246836e-07,4.932244905830885e-07
alpha_intact_history_topufree_step0,0.0020006729755550623,655,2428,9.999983012676239e-05,8.049951816246903e-10,1.0046164788946044e-08,6.593278811806158e-08,6.512779293643689e-08,5.023776452617312e-07,4.923314804727852e-07
alpha_intact_history_topufree_step0,0.0022007401566952467,723,2393,9.999983012676239e-05,7.663416567993409e-10,1.0051962817669846e-08,6.075337211086662e-08,5.998703045406728e-08,5.015136821384658e-07,4.91461719320796e-07
alpha_intact_history_topufree_step0,0.0024008075706660748,789,2354,9.999983012676239e-05,7.20749682159294e-10,1.0054520771518582e-08,5.626543142511764e-08,5.5544681742958346e-08,5.007819368074706e-07,4.90727416035952e-07
alpha_intact_history_topufree_step0,0.002600874751806259,863,2310,9.999983012676239e-05,6.62215171587377e-10,1.0054804988612887e-08,5.183796858432288e-08,5.11757534127355e-08,5.000855480830069e-07,4.90030743094394e-07
alpha_intact_history_topufree_step0,0.002800942165777087,930,2269,9.999983012676239e-05,6.048246348200337e-10,1.0054975518869469e-08,4.742599202245401e-08,4.682116738763398e-08,4.993976290279534e-07,4.893426535090839e-07
alpha_intact_history_topufree_step0,0.0030010093469172716,998,2223,9.999983012676239e-05,5.459668273033458e-10,1.0054748145194026e-08,4.30129496464815e-08,4.2466982819178156e-08,4.987095962860622e-07,4.886548481408681e-07
alpha_intact_history_topufree_step0,0.0032010767608880997,1062,2176,9.999983012676239e-05,4.872582337611675e-10,1.005508920570719e-08,3.860038333414195e-08,3.8113125100380785e-08,4.980217909178464e-07,4.879667017121392e-07
alpha_intact_history_topufree_step0,0.003401143942028284,1122,2125,9.999983012676239e-05,4.284750332317344e-10,1.005503236228833e-08,3.418939087396211e-08,3.3760915840730377e-08,4.973328486812534e-07,4.87277816318965e-07
alpha_intact_history_topufree_step0,0.003601211355999112,1180,2070,9.999983012676239e-05,3.703224393802884e-10,1.005503236228833e-08,2.978038082801504e-08,2.9410058388634752e-08,4.966431674802152e-07,4.865881351179269e-07
alpha_intact_history_topufree_step0,0.0038012785371392965,1233,2010,9.999983012676239e-05,3.1251445875568606e-10,1.0054861832031747e-08,2.5370828993231953e-08,2.5058314534476267e-08,4.959535999660147e-07,4.85898738133983e-07
alpha_intact_history_topufree_step0,0.004001345951110125,1287,1954,9.999983012676239e-05,2.532640763774907e-10,1.0054975518869469e-08,2.0961344660008763e-08,2.0708080583631272e-08,4.952639756083954e-07,4.852090000895259e-07
alpha_intact_history_topufree_step0,0.004201413132250309,1339,1895,9.999983012676239e-05,1.893294410137969e-10,1.0028543329099193e-08,1.6776366962290012e-08,1.6587037521276216e-08,4.952518111167592e-07,4.8522326778766e-07
alpha_intact_history_topufree_step0,0.00440147565677762,1388,1841,9.999983012676239e-05,1.3504042328804644e-10,1.002831595542375e-08,1.2669326920899948e-08,1.2534286497611902e-08,4.954704877491167e-07,4.85442171793693e-07
alpha_intact_history_topufree_step0,0.0045905509032309055,1436,1789,9.999983012676239e-05,8.410161456140486e-11,1.0028486485680332e-08,8.788322958253048e-09,8.704221343691643e-09,4.956771704200946e-07,4.856486839344143e-07
alpha_intact_history_topufree_step0,0.004754123743623495,1487,1736,9.999983012676239e-05,3.916111879220807e-11,1.002837279884261e-08,5.430602190159561e-09,5.391441071367353e-09,4.958557724421553e-07,4.858273996433127e-07
alpha_intact_history_topufree_step0,0.004889295436441898,1537,1684,9.999983012676239e-05,2.6296742561271458e-12,1.002825911200489e-08,2.6558335530779686e-09,2.6532038788218415e-09,4.960035084877745e-07,4.859752493757696e-07
alpha_intact_history_topufree_step0,0.004999999888241291,1585,1636,9.999983012676239e-05,-2.7245095068906267e-11,1.0028486485680332e-08,3.8360262188952277e-10,4.1084771695842903e-10,4.96124584969948e-07,4.860960984842677e-07
old_history_default_alpha_step0,0.0,158,2697,9.999983012676239e-05,-8.489472236306028e-09,1.0718955074651149e-06,-7.583551564493973e-08,-6.73460434086337e-08,1.038929667629418e-06,-3.29658398356969e-08
old_history_default_alpha_step0,0.00020006729755550623,190,2670,9.999983012676239e-05,-7.079655972574983e-09,1.0610429921342757e-06,-7.54162741145592e-08,-6.833661814198422e-08,1.0320177352696192e-06,-2.9025256864656512e-08
old_history_default_alpha_step0,0.00040013459511101246,221,2641,9.999983012676239e-05,-6.3737317645973235e-09,1.0471849485327311e-06,-7.569965276843504e-08,-6.932592100383772e-08,1.0254474318571738e-06,-2.1737516675557345e-08
old_history_default_alpha_step0,0.0006002018926665187,257,2613,9.999983012676239e-05,-7.010726221778896e-09,1.0352222261644783e-06,-7.590928419176635e-08,-6.889855796998745e-08,1.0190339025939466e-06,-1.6188323570531793e-08
old_history_default_alpha_step0,0.0008002691902220249,303,2611,9.999983012676239e-05,-7.012573632891872e-09,1.021320169769524e-06,-7.656005607259431e-08,-6.954748243970243e-08,1.0115818440681323e-06,-9.738325701391659e-09
old_history_default_alpha_step0,0.0010003364877775311,350,2581,9.999983012676239e-05,-7.28326199350704e-09,1.0099740890279207e-06,-7.75769777305868e-08,-7.029371573707976e-08,1.0062916544484324e-06,-3.6824345794883584e-09
old_history_default_alpha_step0,0.0012004037853330374,404,2552,9.999983012676239e-05,-6.048836098671018e-09,9.960339499848203e-07,-7.864993278872134e-08,-7.260109669005033e-08,9.984523785533383e-07,2.4184285685180384e-09
old_history_default_alpha_step0,0.0014004710828885436,462,2522,9.999983012676239e-05,-6.095930871197197e-09,9.837768146780945e-07,-8.019158315164532e-08,-7.409565228044812e-08,9.927437076839851e-07,8.966893005890597e-09
old_history_default_alpha_step0,0.0016005383804440498,523,2492,9.999983012676239e-05,-4.3062726717835176e-09,9.696811726911392e-07,-8.170248833039295e-08,-7.739621565860944e-08,9.851239610725315e-07,1.5442788381392347e-08
old_history_default_alpha_step0,0.001800605677999556,587,2461,9.999983012676239e-05,-3.88524057370887e-09,9.559125864200269e-07,-8.410886209730961e-08,-8.022362152360074e-08,9.794176776267705e-07,2.35050912067436e-08
old_history_default_alpha_step0,0.0020006729755550623,655,2428,9.999983012676239e-05,-2.1682566853087337e-09,9.442174704332729e-07,-8.569382714540552e-08,-8.352557046009679e-08,9.73449346020061e-07,2.9231875586788192e-08
old_history_default_alpha_step0,0.0022007401566952467,723,2393,9.999983012676239e-05,-2.575291091488907e-09,9.270088874302473e-07,-8.978609855603281e-08,-8.72108074645439e-08,9.646049647926702e-07,3.7596077362422875e-08
old_history_default_alpha_step0,0.0024008075706660748,789,2354,9.999983012676239e-05,-4.433843514561886e-09,9.065359201088086e-07,-9.416439183951297e-08,-8.973054832495109e-08,9.54774463934882e-07,4.823854382607351e-08
old_history_default_alpha_step0,0.002600874751806259,863,2310,9.999983012676239e-05,-7.973355309331964e-09,8.860713087699423e-07,-9.92037456626349e-08,-9.123039035330294e-08,9.433570653527568e-07,5.728575658281443e-08
old_history_default_alpha_step0,0.002800942165777087,930,2269,9.999983012676239e-05,-1.339363819852224e-08,8.643514419759413e-07,-1.0703371344789048e-07,-9.364007524936824e-08,9.329847330263874e-07,6.863329105044613e-08
old_history_default_alpha_step0,0.0030010093469172716,998,2223,9.999983012676239e-05,-1.3546888055770978e-08,8.379545377579234e-07,-1.12413466979433e-07,-9.886657892366202e-08,9.187493219542375e-07,8.079478419631414e-08
old_history_default_alpha_step0,0.0032010767608880997,1062,2176,9.999983012676239e-05,-1.128490367818813e-08,8.082879219273309e-07,-1.1737802196876146e-07,-1.0609311829057333e-07,9.027239116221608e-07,9.443598969482991e-08
old_history_default_alpha_step0,0.003401143942028284,1122,2125,9.999983012676239e-05,-7.631420828602131e-09,7.75051049117792e-07,-1.2477818245315575e-07,-1.1714676162455362e-07,8.859823878992756e-07,1.1093133878148365e-07
old_history_default_alpha_step0,0.003601211355999112,1180,2070,9.999983012676239e-05,-7.767511078782263e-09,7.386228162431507e-07,-1.3264263998280512e-07,-1.2487512890402286e-07,8.673594038555166e-07,1.2873658761236584e-07
old_history_default_alpha_step0,0.0038012785371392965,1233,2010,9.999983012676239e-05,-5.454481311062409e-09,6.963919219060699e-07,-1.381847880566056e-07,-1.327303067455432e-07,8.445173307336518e-07,1.4812540882758185e-07
old_history_default_alpha_step0,0.004001345951110125,1287,1954,9.999983012676239e-05,-5.2217075108274e-09,6.404511623259168e-07,-1.4277937054885115e-07,-1.3755766303802375e-07,8.19074273294973e-07,1.7862311096905614e-07
old_history_default_alpha_step0,0.004201413132250309,1339,1895,9.999983012676239e-05,-4.721357527159853e-09,5.863965952812578e-07,-1.4472993825620506e-07,-1.400085807290452e-07,7.941752642182109e-07,2.0777866893695318e-07
old_history_default_alpha_step0,0.00440147565677762,1388,1841,9.999983012676239e-05,-3.6226737165634404e-09,5.165242100702017e-07,-1.486838954178893e-07,-1.4506122170132585e-07,7.555730121566739e-07,2.390488020864723e-07
old_history_default_alpha_step0,0.0045905509032309055,1436,1789,9.999983012676239e-05,3.9264591578103136e-10,4.2014841028503724e-07,-1.5316980750412768e-07,-1.535624534199087e-07,7.068728109516087e-07,2.8672440066657146e-07
old_history_default_alpha_step0,0.004754123743623495,1487,1736,9.999983012676239e-05,-8.466969347864506e-10,3.1459850902137987e-07,-1.5630278937805997e-07,-1.5545609244327352e-07,6.574153417204798e-07,3.428168326990999e-07
old_history_default_alpha_step0,0.004889295436441898,1537,1684,9.999983012676239e-05,-1.7694503640086623e-09,2.0135391309850093e-07,-1.577793256046789e-07,-1.5600987524067023e-07,5.999630730002536e-07,3.986091599017527e-07
old_history_default_alpha_step0,0.004999999888241291,1585,1636,9.999983012676239e-05,-1.902805024656118e-09,8.053032729549159e-08,-1.521820252037287e-07,-1.5027922017907258e-07,5.419953481577977e-07,4.614650208623061e-07
