group,case,seed,step,Delta,strain,metric,reaction_N,alpha0p8_through_crack
D0040,D0040_seed7_default_unitbox,7,40,0.000115,0.0115,saved_field_virtual_work_proxy_N,-147.40583250820364,True
D0040,D0040_seed7_default_unitbox,7,41,0.000118,0.0118,saved_field_virtual_work_proxy_N,-154.03017132849422,True
D0040,D0040_seed7_default_unitbox,7,42,0.00012,0.012,saved_field_virtual_work_proxy_N,-159.55934669101455,True
D0040,D0040_seed7_default_unitbox,7,43,0.000125,0.0125,saved_field_virtual_work_proxy_N,-170.6018537623203,True
D0040,D0040_seed7_default_unitbox,7,44,0.00013,0.013,saved_field_virtual_work_proxy_N,-182.2099833396148,True
D0040,D0040_seed7_default_unitbox,7,45,0.000135,0.0135,saved_field_virtual_work_proxy_N,-191.2500524913818,True
D0040,D0040_seed7_default_unitbox,7,46,0.00014,0.013999999999999999,saved_field_virtual_work_proxy_N,-204.37547821068864,True
D0040,D0040_seed7_default_unitbox,7,47,0.000145,0.014499999999999999,saved_field_virtual_work_proxy_N,-216.2822518362887,True
D0040,D0040_seed7_default_unitbox,7,48,0.00015,0.014999999999999998,saved_field_virtual_work_proxy_N,-228.13972235503712,True
D0040,D0040_seed7_default_unitbox,7,49,0.000155,0.0155,saved_field_virtual_work_proxy_N,-240.8894681667414,True
D0040,D0040_seed7_default_unitbox,7,50,0.00016,0.016,saved_field_virtual_work_proxy_N,-253.3933219957196,True
D0040,D0040_seed7_default_unitbox,7,51,0.00017,0.017,saved_field_virtual_work_proxy_N,-276.5094414001007,True
D0040,D0040_seed7_default_unitbox,7,52,0.00018,0.018000000000000002,saved_field_virtual_work_proxy_N,-299.2765028028815,True
D0040,D0040_seed7_default_unitbox,7,53,0.00019,0.019,saved_field_virtual_work_proxy_N,-321.89090589142023,True
D0040,D0040_seed7_default_unitbox,7,54,0.0002,0.02,saved_field_virtual_work_proxy_N,-346.6620089911002,True
D0040,D0040_seed7_default_unitbox,7,0,1e-06,9.999999999999999e-05,bottom_sigma_integral_outward_N,-0.053045359845680325,False
D0040,D0040_seed7_default_unitbox,7,1,5e-06,0.0005,bottom_sigma_integral_outward_N,-0.26794937516951256,False
D0040,D0040_seed7_default_unitbox,7,2,1e-05,0.001,bottom_sigma_integral_outward_N,-0.5229988286707917,False
D0040,D0040_seed7_default_unitbox,7,3,1.5e-05,0.0015,bottom_sigma_integral_outward_N,-0.7531597085663827,False
D0040,D0040_seed7_default_unitbox,7,4,2e-05,0.002,bottom_sigma_integral_outward_N,-0.9418788183434593,False
D0040,D0040_seed7_default_unitbox,7,5,2.5e-05,0.0025,bottom_sigma_integral_outward_N,-1.0552527752024152,False
D0040,D0040_seed7_default_unitbox,7,6,3e-05,0.003,bottom_sigma_integral_outward_N,-1.11981841979705,False
D0040,D0040_seed7_default_unitbox,7,7,3.5e-05,0.0034999999999999996,bottom_sigma_integral_outward_N,-1.1406289871670159,False
D0040,D0040_seed7_default_unitbox,7,8,4e-05,0.004,bottom_sigma_integral_outward_N,-1.1406658125213314,False
D0040,D0040_seed7_default_unitbox,7,9,4.5e-05,0.0045000000000000005,bottom_sigma_integral_outward_N,-1.1409798633616433,False
D0040,D0040_seed7_default_unitbox,7,10,4.7e-05,0.004699999999999999,bottom_sigma_integral_outward_N,-1.1435445206856414,False
D0040,D0040_seed7_default_unitbox,7,11,4.9e-05,0.0049,bottom_sigma_integral_outward_N,-1.1426251078806784,False
D0040,D0040_seed7_default_unitbox,7,12,5.1e-05,0.0050999999999999995,bottom_sigma_integral_outward_N,-1.138421916985044,False
D0040,D0040_seed7_default_unitbox,7,13,5.3e-05,0.0053,bottom_sigma_integral_outward_N,-1.1385349486078222,False
D0040,D0040_seed7_default_unitbox,7,14,5.5e-05,0.0055,bottom_sigma_integral_outward_N,-1.1384535236977151,True
D0040,D0040_seed7_default_unitbox,7,15,5.7e-05,0.0057,bottom_sigma_integral_outward_N,-1.1385755566375482,True
D0040,D0040_seed7_default_unitbox,7,16,5.9e-05,0.0059,bottom_sigma_integral_outward_N,-1.1384612583042242,True
D0040,D0040_seed7_default_unitbox,7,17,6.1e-05,0.0060999999999999995,bottom_sigma_integral_outward_N,-1.1422030501676737,True
D0040,D0040_seed7_default_unitbox,7,18,6.3e-05,0.0063,bottom_sigma_integral_outward_N,-1.1422872522828458,True
D0040,D0040_seed7_default_unitbox,7,19,6.5e-05,0.0065,bottom_sigma_integral_outward_N,-1.1359163110009445,True
D0040,D0040_seed7_default_unitbox,7,20,6.7e-05,0.0067,bottom_sigma_integral_outward_N,-1.1233440918531452,True
D0040,D0040_seed7_default_unitbox,7,21,6.9e-05,0.0069,bottom_sigma_integral_outward_N,-1.1249771229408436,True
