case,seed,variant,subdomain,physical_boundary_fx_N,physical_boundary_fy_N,crack_band_interface_fx_N,crack_band_interface_fy_N,transition_interface_fx_N,transition_interface_fy_N,net_force_residual_x_N,net_force_residual_y_N,net_force_residual_magnitude_N,net_moment_residual_Nmm,subdomain_centroid_x,subdomain_centroid_y,physical_boundary_force_magnitude_sum_N,crack_band_interface_force_magnitude_sum_N,transition_interface_force_magnitude_sum_N,mechanically_separated_by_low_crack_interface,bc_treatment
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,whole,2.2724914336823653e-15,-2.5546591120276515e-14,,,,,2.2724914336823653e-15,-2.5546591120276515e-14,2.5647466447638655e-14,,,,,,,,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,upper,5.415073828045532e-15,-4.1876492559392663e-13,-5.288747836512379e-15,4.3014806160622203e-16,0.0,0.0,1.2632599153315408e-16,-4.1833477753232047e-13,4.183347966058671e-13,-4.575542142750908e-17,0.0050973877918945865,0.00639853802451166,7.607659754316188e-13,6.042523841945686e-14,0.0,False,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_crack_band_void,whole,5.415073828045533e-15,-4.1876492559392663e-13,,,,,5.415073828045533e-15,-4.1876492559392663e-13,4.1879993544919516e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,upper,2.945428499015256e-14,9.58153841017993e-14,3.1909914445641133e-15,-7.080864999905246e-15,1.040416379480191e-16,2.661268369699132e-16,3.2749318072664706e-14,8.9000645938864e-14,9.483476583911405e-14,3.810131631542859e-16,0.0050973877918945865,0.00639853802451166,3.1615288371526507e-13,4.821955769751839e-14,6.590799603323323e-15,False,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,whole,2.9454284990152556e-14,9.58153841017993e-14,,,,,2.9454284990152556e-14,9.58153841017993e-14,1.0024042465421054e-13,,,,,,,,original_top_bottom_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,upper,1.8599177998539568e-13,1.8904256975827123e-13,1.0893738107335291e-15,-2.935697987092293e-15,-1.4543461129477175e-17,1.6870903227236037e-15,1.8706661033499974e-13,1.8779396209390268e-13,2.6506695173324187e-13,4.737223968182843e-16,0.0050973877918945865,0.00639853802451166,6.875714788640645e-13,4.052133888227303e-14,6.7580048794457965e-15,False,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004986262455370623,0.003567179923863588,0.0,0.0,0.0,True,minimal_rigid_body_bc
D0040_seed13_default_unitbox,13,fedof_piecewise_upper_lower_current_split,whole,1.8599177998539565e-13,1.8904256975827126e-13,,,,,1.8599177998539565e-13,1.8904256975827126e-13,2.6519810595655974e-13,,,,,,,,minimal_rigid_body_bc
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,upper,4.904626634386236e-05,0.007317789953781998,-0.00018183953357693968,-0.008514047949050514,0.00023933058312700832,-0.0051343517956191475,0.00010653731589393078,-0.006330609790887669,0.006331506181325317,-1.5678484605206686e-05,0.004990206677216139,0.006448453354327147,0.008129446740373285,0.009665283427396774,0.023136433570155924,False,original_top_bottom_bc
D0040_seed42_default_unitbox,42,fedof_continuous_current_split,lower,0.00015508265245978115,-0.007745534346709399,9.664829976810232e-06,0.008752375730557092,0.00032265289023192235,0.0044643761508489825,0.00048740037266851413,0.005471217534696677,0.005492884527754956,1.4425263331788016e-05,0.005093929518697391,0.00361565995958494,0.008853668297748236,0.00973637945626037,0.02007857429350446,False,original_top_bottom_bc
